"id","name","URL","comment","title_tag","link","created_at","updated_at"

"1","ROFISH SPY","http://starmen.net/badgevatars/avatars/rofishspy.png",,,,"2008-02-14 11:15:52","2008-02-14 11:15:52"

"4","Aces","http://classic.starmen.net/mailbag/aces.gif","For ninja royalty only","Aces!",,"2008-02-15 06:57:38","2008-07-06 18:02:19"

"5","Lenny","http://schatel.com/misc/lennythink.gif","Hrm","*smokes pipe*",,"2008-02-18 10:08:52","2008-02-18 10:08:52"

"6","Reggie Bash","http://","The last stage of the PK SEIGE","BAM!",,"2008-06-24 18:03:33","2008-09-28 13:11:09"

"7","fs","http://starmen.net/forum/badges/fs.gif",,"Fuuu.. kuuu... nagaaa... SNIPE!",,"2008-07-06 13:11:52","2008-07-06 13:11:52"

"8","sexybeam","http://starmen.net/forum/badges/sexybeam.gif",,"PK Sexybeam","http://sexybeam.net","2008-07-06 13:12:35","2008-07-06 13:12:35"

"9","sexybeamgold","http://starmen.net/forum/badges/sexygold.gif",,"PK Sexybeam","http://sexybeam.net","2008-07-06 13:13:16","2008-07-06 13:13:16"

"10","hardtrivia1","http://starmen.net/forum/badges/pht1.gif",,,,"2008-07-06 13:13:55","2008-07-06 13:13:55"

"11","hardtrivia2","http://starmen.net/forum/badges/pht2.gif",,,,"2008-07-06 13:14:14","2008-07-06 13:14:14"

"12","hardtrivia3","http://starmen.net/forum/badges/pht3.gif",,,,"2008-07-06 13:14:28","2008-07-06 13:14:28"

"13","hardtrivia4","http://starmen.net/forum/badges/pht4.gif",,,,"2008-07-06 13:14:39","2008-07-06 13:14:39"

"14","fun","http://starmen.net/forum/badges/fun.gif",,,,"2008-07-06 13:14:51","2008-07-06 13:14:51"

"15","patrick","http://starmen.net/forum/badges/patrick.gif",,,,"2008-07-06 13:15:12","2008-07-06 13:15:12"

"16","ayumi","http://starmen.net/forum/badges/ayumi.gif",,"Ayumi Fan Club! Yay!","http://tomato.fobby.net/2008/12/05/famicom-detective-club-2-video/","2008-07-06 13:16:10","2008-12-16 12:38:00"

"17","easy","http://starmen.net/forum/badges/easybadge.gif",,,,"2008-07-06 13:16:35","2008-07-06 13:16:35"

"18","dragon","http://starmen.net/forum/badges/dragon.gif",,,,"2008-07-06 13:16:49","2008-07-06 13:16:49"

"19","aoe","http://starmen.net/forum/badges/aoe.gif",,,,"2008-07-06 13:17:00","2008-07-06 13:17:00"

"20","aoe50","http://starmen.net/forum/badges/aoe3.gif",,,,"2008-07-06 13:17:11","2008-07-06 13:17:11"

"21","boxes","http://starmen.net/forum/badges/boxesbadge.gif",,"Tomato Boxes Pro!","http://tomato.fobby.net/2008/12/07/tomato-boxes/","2008-07-06 13:17:41","2008-12-16 12:38:15"

"22","donor1","http://starmen.net/forum/badges/donor1.gif","$5 - $10","Green Donor — had donated $5 - $10 to Starmen.Net","http://starmen.net/donation.php","2008-07-06 13:18:53","2010-10-19 17:14:14"

"23","donor2","http://starmen.net/forum/badges/donor2.gif","$10 - $30","Bronze Donor — has donated $10 - $30 to Starmen.Net","http://starmen.net/donation.php","2008-07-06 13:19:43","2010-10-19 17:14:23"

"24","donor3","http://starmen.net/forum/badges/donor3.gif","$30 - $50","Silver Donor — has donated $30 - $50 to Starmen.Net","http://starmen.net/donation.php","2008-07-06 13:20:21","2010-10-19 17:14:34"

"25","donor4","http://starmen.net/forum/badges/donor4.gif","$50 - $100","Gold Donor — has donated $50 - $100 to Starmen.Net","http://starmen.net/donation.php","2008-07-06 13:20:44","2010-10-19 17:14:47"

"26","donor5","http://starmen.net/forum/badges/donor5.gif","$100 +","Platinum Donor — has donated more than $100 to Starmen.Net","http://starmen.net/donation.php","2008-07-06 13:21:19","2010-10-19 17:14:58"

"27","pkhack","http://starmen.net/pkhack/badges/pkhack.png",,"Elite PK Hacker","http://starmen.net/pkhack","2008-07-06 13:22:12","2008-07-06 13:22:12"

"28","eb0hack","http://starmen.net/forum/badges/eb0hack.png",,"EB0 Remake Helper!","http://tomato.fobby.net/eb0","2008-07-06 13:22:43","2008-07-06 13:22:43"

"29","melee","http://starmen.net/forum/badges/melee.gif",,"Fan Melee Butt-Kicker",,"2008-07-06 13:23:14","2008-07-06 13:23:14"

"30","melee2","http://starmen.net/forum/badges/fanmelee2.gif",,,,"2008-07-06 13:23:31","2008-07-06 13:23:31"

"31","melee3","http://starmen.net/forum/badges/meleehammerbadge.gif",,,,"2008-07-06 13:23:49","2008-07-06 13:23:49"

